39.626,249.922,0.000
33.299,247.266,1.000
35.017,248.241,2.000
35.267,266.259,3.000
38.409,243.345,4.000
20.451,282.339,5.000
32.751,251.967,6.000
43.506,252.409,7.000
38.178,261.214,8.000
35.530,263.528,9.000
35.770,250.211,10.000
34.970,246.058,11.000
39.653,237.565,12.000
40.196,269.786,13.000
51.603,72.721,14.000
32.305,262.498,15.000
45.058,253.414,16.000
21.563,271.001,17.000
35.752,254.168,18.000
33.578,250.461,19.000
35.050,252.792,20.000
24.674,242.741,21.000
41.923,260.462,22.000
35.865,262.048,23.000
39.142,261.644,24.000
34.446,285.174,25.000
31.492,243.118,26.000
35.543,250.557,27.000
28.601,258.928,28.000
52.142,61.723,29.000
14.299,299.704,30.000
31.752,253.258,31.000
40.176,226.721,32.000
28.672,254.570,33.000
37.972,247.358,34.000
35.975,249.089,35.000
43.574,248.256,36.000
34.366,251.225,37.000
39.936,243.213,38.000
50.102,69.978,39.000
41.879,244.879,40.000
41.958,248.294,41.000
37.003,258.304,42.000
22.662,253.274,43.000
22.468,257.427,44.000
27.682,260.300,45.000
37.173,251.319,46.000
33.199,247.829,47.000
34.282,249.725,48.000
34.404,245.767,49.000
32.815,237.197,50.000
35.930,234.230,51.000
30.589,256.978,52.000
36.748,256.472,53.000
35.181,247.857,54.000
35.629,254.149,55.000
41.891,251.515,56.000
23.877,266.700,57.000
42.369,255.218,58.000
40.625,251.713,59.000
40.244,254.063,60.000
39.122,247.865,61.000
73.620,128.874,62.000
79.900,127.322,63.000
83.230,319.173,64.000
86.544,127.741,65.000
64.904,131.958,66.000
88.157,318.093,67.000
86.427,131.996,68.000
88.512,319.759,69.000
87.555,321.352,70.000
87.272,322.086,71.000
69.600,123.142,72.000
77.041,112.533,73.000
80.294,119.421,74.000
77.036,321.639,75.000
85.628,134.106,76.000
80.424,123.976,77.000
88.289,116.911,78.000
87.890,133.073,79.000
64.641,125.626,80.000
65.469,130.593,81.000
64.873,122.846,82.000
73.571,109.535,83.000
74.024,109.561,84.000
82.273,117.037,85.000
84.032,132.378,86.000
86.414,317.755,87.000
83.260,319.131,88.000
70.417,115.909,89.000
85.188,110.123,90.000
77.187,132.344,91.000
86.586,125.124,92.000
78.956,112.826,93.000
85.516,133.502,94.000
87.555,109.086,95.000
83.294,113.065,96.000
82.897,107.111,97.000
88.243,107.514,98.000
89.543,116.962,99.000
89.928,126.734,100.000
85.256,319.358,101.000
76.352,320.242,102.000
84.906,121.090,103.000
88.681,122.110,104.000
82.094,129.916,105.000
87.678,130.808,106.000
87.575,114.133,107.000
84.307,123.496,108.000
73.083,133.206,109.000
86.452,112.352,110.000
85.948,111.718,111.000
76.782,128.495,112.000
