0.786,-0.613,0.084,954.698,0.000
0.719,-0.679,0.151,990.201,1.000
0.769,-0.638,-0.033,924.882,2.000
0.745,-0.662,-0.080,923.196,3.000
0.831,-0.541,-0.129,735.822,4.000
0.760,-0.599,-0.252,762.805,5.000
0.810,-0.564,-0.163,890.338,6.000
0.785,-0.619,-0.003,943.067,7.000
0.779,-0.623,0.070,874.773,8.000
-0.035,0.982,-0.186,-1130.014,9.000
0.752,-0.659,0.026,998.908,10.000
0.739,-0.649,0.183,888.971,11.000
0.723,-0.691,0.004,914.859,12.000
-0.615,0.786,-0.060,-966.086,13.000
0.763,-0.646,-0.002,858.698,14.000
-0.692,0.721,0.039,-897.917,15.000
0.781,-0.615,-0.104,728.561,16.000
-0.614,0.785,0.084,-903.410,17.000
-0.492,0.803,-0.337,-889.099,18.000
-0.397,0.877,-0.270,-975.477,19.000
-0.379,0.896,-0.231,-991.221,20.000
0.821,-0.570,-0.034,537.076,21.000
0.720,-0.687,-0.102,816.073,22.000
0.767,-0.629,-0.126,742.570,23.000
0.748,-0.651,-0.130,765.545,24.000
0.720,-0.677,-0.153,810.323,25.000
0.750,-0.625,-0.214,754.687,26.000
-0.472,0.842,-0.262,-936.406,27.000
-0.285,0.950,-0.127,-1065.136,28.000
0.777,-0.613,-0.144,725.225,29.000
0.765,-0.644,0.004,660.542,30.000
-0.472,0.790,-0.390,-868.250,31.000
0.798,-0.602,-0.025,608.842,32.000
-0.678,0.735,-0.001,-1048.383,33.000
-0.383,0.904,0.189,-1143.074,34.000
0.828,-0.557,-0.063,699.400,35.000
0.828,-0.533,-0.175,807.265,36.000
0.801,-0.598,0.039,778.992,37.000
0.803,-0.575,-0.156,690.625,38.000
-0.291,0.931,0.222,-1063.683,39.000
-0.482,0.872,0.083,-958.946,40.000
0.789,-0.611,-0.069,623.074,41.000
0.777,-0.629,0.028,606.680,42.000
0.748,-0.664,-0.020,1005.998,43.000
0.740,-0.672,-0.036,993.361,44.000
0.846,-0.529,-0.070,804.804,45.000
0.863,-0.428,-0.267,682.049,46.000
-0.553,0.832,-0.042,-1003.553,47.000
-0.013,0.970,0.241,-1147.140,48.000
0.793,-0.601,-0.101,705.190,49.000
-0.051,0.958,-0.282,-1110.130,50.000
-0.257,0.922,-0.290,-1107.455,51.000
0.007,0.997,-0.080,-1138.494,52.000
0.073,0.990,-0.122,-1135.622,53.000
-0.223,0.949,-0.223,-1058.986,54.000
0.256,0.941,-0.221,-1095.710,55.000
-0.349,0.925,-0.149,-994.143,56.000
-0.177,0.918,-0.355,-983.175,57.000
0.001,0.932,-0.363,-1070.797,58.000
-0.027,0.994,0.102,-1150.101,59.000
-0.107,0.982,0.154,-1144.385,60.000
-0.087,0.966,-0.244,-1111.179,61.000
0.210,0.975,0.070,-1094.865,62.000
0.097,0.940,-0.327,-1025.434,63.000
0.208,0.966,-0.152,-1065.287,64.000
-0.176,0.971,-0.162,-1133.691,65.000
-0.301,0.954,-0.003,-1100.798,66.000
0.652,0.697,-0.297,-629.830,67.000
0.073,0.991,-0.113,-1121.016,68.000
0.342,0.865,-0.368,-942.331,69.000
-0.526,-0.456,0.718,451.260,70.000
0.085,0.908,-0.411,-1045.951,71.000
0.205,0.977,-0.060,-1056.181,72.000
0.316,0.810,-0.494,-845.964,73.000
0.552,0.792,-0.260,-883.985,74.000
0.802,0.593,-0.073,-662.472,75.000
0.420,0.859,-0.292,-1007.549,76.000
0.505,0.788,-0.352,-961.300,77.000
-0.341,-0.604,0.721,689.535,78.000
0.476,0.711,-0.517,-786.189,79.000
0.737,0.659,-0.152,-840.089,80.000
-0.361,-0.610,0.706,657.349,81.000
0.492,0.789,-0.367,-913.149,82.000
0.235,0.881,-0.411,-939.082,83.000
0.334,0.911,-0.240,-924.761,84.000
0.369,0.834,-0.409,-860.102,85.000
0.241,0.759,-0.605,-833.485,86.000
0.313,0.862,-0.398,-953.040,87.000
0.334,0.880,-0.337,-971.426,88.000
0.192,0.967,-0.168,-1044.472,89.000
0.259,0.871,-0.418,-962.577,90.000
-0.038,-0.213,0.976,275.948,91.000
0.073,-0.634,0.770,773.829,92.000
-0.044,-0.521,0.852,624.774,93.000
0.128,0.889,-0.439,-989.132,94.000
-0.301,0.876,-0.377,-1065.042,95.000
0.168,0.718,-0.676,-749.319,96.000
-0.130,0.931,-0.340,-1080.531,97.000
-0.051,-0.600,0.799,696.415,98.000
-0.049,-0.636,0.770,699.716,99.000
-0.175,-0.612,0.771,678.684,100.000
-0.107,0.748,-0.655,-821.583,101.000
-0.010,0.953,-0.303,-1074.935,102.000
0.114,0.753,-0.648,-882.659,103.000
-0.142,-0.559,0.817,642.655,104.000
0.180,0.715,-0.675,-768.387,105.000
0.072,-0.499,0.864,572.990,106.000
-0.073,-0.478,0.875,509.159,107.000
-0.287,-0.560,0.778,590.992,108.000
-0.127,0.875,-0.467,-932.472,109.000
-0.236,-0.548,0.802,600.142,110.000
-0.055,0.774,-0.630,-819.258,111.000
-0.169,0.966,-0.194,-1126.950,112.000
0.104,0.936,-0.337,-1005.417,113.000
0.001,0.893,-0.450,-945.096,114.000
-0.387,0.732,-0.561,-736.525,115.000
-0.209,-0.624,0.753,655.249,116.000
0.151,0.753,-0.640,-774.469,117.000
0.190,0.779,-0.597,-787.971,118.000
-0.155,0.897,-0.415,-1011.847,119.000
-0.106,-0.569,0.815,467.948,120.000
0.409,-0.615,0.674,674.552,121.000
0.123,0.745,-0.656,-781.760,122.000
-0.376,0.797,-0.473,-853.989,123.000
-0.330,-0.301,0.895,203.350,124.000
-0.322,-0.655,0.684,711.600,125.000
0.295,0.804,0.516,-813.824,126.000
0.467,0.876,0.120,-908.681,127.000
0.714,0.502,0.489,-361.076,128.000
0.925,0.305,0.227,-198.554,129.000
0.444,0.708,0.549,-765.427,130.000
0.596,0.801,0.053,-966.870,131.000
0.812,0.488,0.319,-512.911,132.000
0.276,0.895,0.350,-1036.830,133.000
0.491,0.646,0.585,-747.535,134.000
0.631,0.487,0.604,-614.273,135.000
0.865,0.490,0.105,-674.363,136.000
0.424,0.837,0.346,-1002.357,137.000
0.225,0.672,0.705,-766.212,138.000
0.379,0.741,0.554,-923.394,139.000
-0.128,-0.460,0.879,414.578,140.000
0.540,0.775,0.328,-987.094,141.000
0.712,0.484,0.508,-715.386,142.000
0.476,0.504,0.721,-568.653,143.000
0.776,0.628,0.059,-504.804,144.000
0.285,0.943,0.171,-1080.189,145.000
0.689,0.613,0.386,-820.232,146.000
-0.107,0.952,0.287,-1108.572,147.000
-0.156,0.847,0.509,-959.121,148.000
0.123,0.979,0.162,-1105.969,149.000
0.056,0.996,-0.065,-1143.204,150.000
-0.070,0.997,-0.039,-1100.566,151.000
-0.201,0.939,-0.281,-1049.142,152.000
0.023,0.995,-0.093,-1123.576,153.000
0.091,0.878,0.470,-1020.515,154.000
-0.416,0.873,0.255,-1166.493,155.000
0.129,0.985,-0.119,-1102.714,156.000
0.048,0.987,0.154,-1145.121,157.000
-0.107,0.994,-0.028,-1143.490,158.000
